event_id,event_name,tier,category,sub_category,format,scope,location_city,location_country,location_venue,date_start,date_end,registration_deadline,season_quarter,months_from_now,entry_cost_brl,entry_cost_usd,travel_cost_brl,total_cost_brl,prize_pool_usd,prize_1st_usd,prize_top10_avg_usd,prize_type,reward_employment,reward_scholarship,reward_certification,eligibility,eligibility_detail,team_size,ai_policy,platform_url,source_file,scholarship_weight_0_10,employment_weight_0_10,storytelling_weight_0_10,status,notes
CP01,Meta Hacker Cup 2026,S,algorithmic,individual,online,global,,global,online,2026-02-02,2026-12-13,2026-02-25,Q1,0,0,0,0,0,41500,20000,400,cash,yes,no,yes,open,None — any language any IDE,1,prohibited,https://www.facebook.com/codingcompetitions/hacker-cup,Competitive Programming Hackathon Information.md,9,10,8,registration_open,Top 2000 get t-shirt — top 200 onsite finals — multi-round elimination 24h then 3h sprints
CP02,ICPC 50th World Finals 2026,S,algorithmic,team,in_person,global,Dubai,UAE,Dubai venue TBD,2026-11-15,2026-11-20,,Q4,9,0,0,0,0,0,0,academic,yes,yes,yes,university,Enrolled university student — faculty coach required,3,prohibited,https://icpc.global/,Competitive Programming Hackathon Information.md,10,10,10,confirmed,50th anniversary — ultimate prestige — fully funded travel for qualifiers
CP03,ICPC Asia West Continent Championship,A,algorithmic,team,hybrid,regional,,Asia,Mathura/Dhaka/Topi/Tehran,2026-03-07,2026-03-08,,Q1,1,0,0,0,0,0,0,academic,yes,yes,yes,university,Online weight 0.5 — onsite weight 1.0,3,prohibited,https://icpc-aisa-west.vercel.app/,Competitive Programming Hackathon Information.md,8,8,7,confirmed,Multi-site synchronized — weighted selection metric
CP04,Maratona SBC 2026 – Fase Regional Salvador,S,algorithmic,team,in_person,national,Salvador,Brazil,UFBA or UNIFACS,2026-09-01,2026-09-30,,Q3,7,0,0,0,0,0,0,academic+prizes,yes,yes,yes,university,Enrolled Brazilian university student — SBC membership R$35,3,prohibited,https://maratona.sbc.org.br,Presencial-2.md,10,10,10,confirmed,Top 15-20 Brazil advance to national finals — empresas recruit finalists directly
CP05,Maratona SBC 2026 – Final Brasileira,S,algorithmic,team,in_person,national,Uberlândia,Brazil,UFU,2026-11-01,2026-11-30,,Q4,9,0,0,2000,2000,0,0,academic+prizes,yes,yes,yes,university,Must qualify through regional phase,3,prohibited,https://maratona.sbc.org.br,Presencial-2.md,10,10,10,pending_qualification,Travel ~R$2000 from Salvador — top teams go to World Finals
CP06,Maratona Mineira 2026,B,algorithmic,team,hybrid,national,Belo Horizonte,Brazil,University TBD,2026-05-29,2026-05-30,,Q2,4,70,0,1500,1570,0,0,medals,no,no,yes,university,Open to all Brazilian university teams — ~R$70/person,3,prohibited,,Presencial-2.md,4,4,6,confirmed,Best warmup before Maratona SBC — compete vs USP/Unicamp/UFPE
CP07,OBI 2026 – Olimpíada Brasileira de Informática,A,algorithmic,individual,hybrid,national,,Brazil,,2026-03-06,2026-06-30,,Q1-Q2,1,0,0,0,0,0,0,academic,yes,yes,yes,student,University must register — individual competition,1,prohibited,,Presencial-2.md,8,6,7,registration_upcoming,Phase 1 June — top performers get international recognition
CP08,AtCoder Heuristic Contest 061 (AHC),B,heuristic,individual,online,global,,global,online,2026-02-13,2026-02-23,,Q1,0,0,0,0,0,455,455,228,cash,no,no,yes,open,None,1,prohibited,https://atcoder.jp/contests/,Competitive Programming Hackathon Information.md,3,5,3,active,10-day event — 50000 JPY 1st — Amazon gift cards — full feedback system
CP09,AtCoder Weekday Contest Beta (AWC),C,algorithmic,individual,online,global,,global,online,2026-02-09,2026-02-13,,Q1,0,0,0,0,0,0,0,ranking,no,no,no,open,None,1,prohibited,https://atcoder.jp/,Competitive Programming Hackathon Information.md,1,3,1,active,90-min daily contests for 5 days — short-form training
CP10,AtCoder Beginner Contests (ABC Weekly),C,algorithmic,individual,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,ranking,no,no,no,open,Rating up to 1999,1,prohibited,https://atcoder.jp/,Competitive Programming Hackathon Information.md,1,3,1,recurring,Weekly — rated for sub-2000 participants
CP11,USACO Monthly Contests 2026,A,algorithmic,individual,online,global,,global,online,2026-02-20,2026-06-30,,Q1-Q2,0,0,0,0,0,0,0,academic,no,yes,yes,student,High school students globally — 4 contest windows,1,prohibited,https://usaco.org/,Competitive Programming Hackathon Information.md,7,3,5,registration_open,IOI selection path — certified scores for proctored sessions — 4 divisions Bronze/Silver/Gold/Platinum
